id,PM10,pora_dnia,lc_code,lc_name
157,5.009767441860465,"[0,8)",1,Agricultural areas
157,4.913288590604027,"[8,16)",1,Agricultural areas
157,5.629583333333334,"[16,24]",1,Agricultural areas
94,44.025,"[0,8)",1,Agricultural areas
94,43.15077922077922,"[8,16)",1,Agricultural areas
94,52.75225,"[16,24]",1,Agricultural areas
190,33.761842105263156,"[0,8)",1,Agricultural areas
190,33.56720779220779,"[8,16)",1,Agricultural areas
190,41.3865,"[16,24]",1,Agricultural areas
187,31.343809523809522,"[0,8)",2,Artificial surfaces
187,30.685548387096773,"[8,16)",2,Artificial surfaces
187,36.28041666666667,"[16,24]",2,Artificial surfaces
109,30.03906976744186,"[0,8)",2,Artificial surfaces
109,30.075833333333332,"[8,16)",2,Artificial surfaces
109,38.635,"[16,24]",2,Artificial surfaces
160,29.895714285714284,"[0,8)",1,Agricultural areas
160,32.74673333333333,"[8,16)",1,Agricultural areas
160,40.079166666666666,"[16,24]",1,Agricultural areas
105,50.40880952380952,"[0,8)",1,Agricultural areas
105,54.834117647058825,"[8,16)",1,Agricultural areas
105,65.28941666666667,"[16,24]",1,Agricultural areas
169,29.56904761904762,"[0,8)",2,Artificial surfaces
169,28.008333333333333,"[8,16)",2,Artificial surfaces
169,27.7915,"[16,24]",2,Artificial surfaces
173,33.87512195121951,"[0,8)",2,Artificial surfaces
173,36.80490196078431,"[8,16)",2,Artificial surfaces
173,44.24336134453782,"[16,24]",2,Artificial surfaces
97,28.38475,"[0,8)",1,Agricultural areas
97,32.1275,"[8,16)",1,Agricultural areas
97,37.26983333333333,"[16,24]",1,Agricultural areas
195,41.1135,"[0,8)",2,Artificial surfaces
195,40.56354838709677,"[8,16)",2,Artificial surfaces
195,49.2385,"[16,24]",2,Artificial surfaces
73,31.41095238095238,"[0,8)",2,Artificial surfaces
73,33.72343949044586,"[8,16)",2,Artificial surfaces
73,42.281416666666665,"[16,24]",2,Artificial surfaces
163,35.7435,"[0,8)",2,Artificial surfaces
163,36.48590909090909,"[8,16)",2,Artificial surfaces
163,45.25183333333333,"[16,24]",2,Artificial surfaces
126,26.63375,"[0,8)",2,Artificial surfaces
126,27.38922077922078,"[8,16)",2,Artificial surfaces
126,34.060833333333335,"[16,24]",2,Artificial surfaces
110,28.436976744186047,"[0,8)",2,Artificial surfaces
110,31.109155844155843,"[8,16)",2,Artificial surfaces
110,39.22591666666667,"[16,24]",2,Artificial surfaces
145,34.49875,"[0,8)",2,Artificial surfaces
145,38.94516339869281,"[8,16)",2,Artificial surfaces
145,50.2985,"[16,24]",2,Artificial surfaces
95,29.643076923076922,"[0,8)",2,Artificial surfaces
95,31.44258064516129,"[8,16)",2,Artificial surfaces
95,38.07083333333333,"[16,24]",2,Artificial surfaces
189,33.321463414634145,"[0,8)",1,Agricultural areas
189,34.257290322580644,"[8,16)",1,Agricultural areas
189,40.708991596638654,"[16,24]",1,Agricultural areas
44,25.490263157894738,"[0,8)",1,Agricultural areas
44,26.71464052287582,"[8,16)",1,Agricultural areas
44,33.41858333333333,"[16,24]",1,Agricultural areas
51,42.14463414634146,"[0,8)",1,Agricultural areas
51,42.631103896103895,"[8,16)",1,Agricultural areas
51,54.42733333333334,"[16,24]",1,Agricultural areas
139,25.704761904761906,"[0,8)",2,Artificial surfaces
139,22.871688311688313,"[8,16)",2,Artificial surfaces
139,29.287563025210083,"[16,24]",2,Artificial surfaces
92,46.56146341463415,"[0,8)",1,Agricultural areas
92,46.189473684210526,"[8,16)",1,Agricultural areas
92,57.38475,"[16,24]",1,Agricultural areas
52,42.46973684210526,"[0,8)",2,Artificial surfaces
